entreprise,titre,description
Federal Reserve Bank of St. Louis,Senior Data Analyst,"Senior Data Analyst-264358 Federal Reserve Bank of St. Louis Primary Location MO-St. Louis Full-time / Part-time Full-time Employee Status Regular Overtime Status Exempt Job Type Experienced Travel No Shift Day Job Job Sensitivity Tier II - Credit Check Target End Date Dec 31, 2020 The St Louis Fed is one of 12 Reserve Banks serving all or parts of Missouri, Illinois, Indiana, Kentucky, Tennessee, Mississippi and Arkansas with branches in Little Rock, Louisville and Memphis. The St. Louis Fed’s most essential responsibilities include: promoting stable prices and economic growth, fostering a sound financial system, providing payment services to financial institutions, supporting the U.S. Treasury's financial operations, and advancing economic education, community development and fair access to credit.  Overview  The Federal Reserve Bank of St. Louis serves as a fiscal agent to the U.S. Department of the Treasury and supports key business lines and programs in partnership with the Treasury. Do Not Pay (DNP) is the Treasury’s program designed to give paying agencies access to the critical information needed to identify, eliminate, and prevent improper payments.  The Federal Reserve Bank of St. Louis is seeking a well-rounded Senior Data Analyst to operate effectively in our Agile space. This individual will help scope, develop, implement, and deliver data analytics on federal payment data to identify and prevent potential fraudulent and improper payments. The position reports directly to an Assistant Manager within DNP Analytics.  NOTE: This is a Full-time, benefits eligible position with an end date of 12/31/2020.  Responsibilities Complete analytics projects. This entails: Performing detailed data and root-cause analysis to drive results. Providing critical thinking and cross-functional information. Researching best practices, new methodologies, and providing support material. Identifying the impact of findings on the broader business and helping to communicate them. Performing within an Agile team space and showcasing efficiencies while working within a team. Understand all areas of the DNP program and the value of different perspectives in order to identify and recommend cross-functional analytics projects. Excel at constituent focus and critically evaluate business problems to identify how DNP’s services or data can solve the problems and/or help DNP customers. Assist in scoping, developing, and writing meaningful reports for key stakeholders. Help identify data quality issues and recommend the best course of action to address them. Qualifications Bachelor’s degree in Business, Finance, Economics, Computer Science, Mathematics or commensurate experience 3 years of relevant experience Proven analytical and problem-solving skills with attention to detail and accuracy. Strong organizational, time management, and relationship building skills, and ability to work effectively within a team environment Ability to operate effectively in a collaborative, team-based environment, including taking direction from colleagues and DNP stakeholders when necessary to improve quality and service Ability to perform computational and mathematical analyses to execute tasks of varying complexities ranging from descriptive reporting to complex analyses such as anomaly detection, trend evaluation, and modeling Strong ability to concentrate on complex material, possess good judgment, and correctly apply the results of research and analysis Ability to present and convey results of analyses to various audiences; experience in data storytelling preferred Ability to maintain confidentiality and appropriately handle sensitive information Ability to use Microsoft Office Suite (Excel, Word, PowerPoint) Proficiency in Microsoft Excel preferred Experience with SQL and at least one analysis tool (e.g., SAS, R, Python, etc.) Experience analyzing fraud and/or suspicious activity a plus Position requires US Citizen Benefits  Our organization offers benefits that are the best fit for you at every stage of your career: Pension plan, 401K, Comprehensive Insurance Plans, Tuition Reimbursement Program, Onsite Wellness & Fitness Center, Backup Dependent Care (Child & Adult), and more Ranked as a Top Workplace, the Federal Reserve Bank of St Louis is committed to building an inclusive workplace, where employees’ diversity—in age, gender, race and ethnicity, sexual orientation, gender identity or expression, disability, and cultural traditions, religion, life experiences, education and socioeconomic backgrounds—are recognized as a strength. Embracing our diversity encourages employees to bring their valued perspectives to the table when generating ideas and solving problems, and promotes an environment where innovation and excellence grow. Learn more about the Bank and its culture; check out our Careers Site. The Federal Reserve Bank of St Louis is an Equal Opportunity Employer."
Deloitte,Data Scientist– USDC – Solution Analyst,"Analytics & Cognitive – Data Scientist – Solution Analyst - USDC Are you an experienced, passionate pioneer in technology – a solutions builder, a roll-up-your-sleeves technologist who wants a daily collaborative environment, think-tank feel and share new ideas with your colleagues - without the extensive demands of travel? If so, consider an opportunity with our US Delivery Center – we are breaking the mold of a typical Delivery Center.  Our US Delivery Centers have been growing since 2014 with significant, continued growth on the horizon. Interested? Read more about our opportunity below …  Work you’ll do/Responsibilities  Strong understanding of data science techniques and libraries and their applicability to business problems.  Experience in performing exploratory data analysis to define analytical models.  Develop advanced quantitative models using a variety of programs/software to support predictive assessments.  Provide expertise for analytical, programmatic, strategic, and operational analysis.  Ability to explain analytics model behavior/results in the vernacular of business.  Perform technical risk analysis and reliability assessments.  Perform multiple forms of advanced analyses, sustainment, optimization, text analytics, machine learning, parametric and non-parametric statistical models and techniques.  Build, test, validate and demonstrate analytical models through various relevant error metrics and calibration techniques.  Provide recommendations for plans, programs, strategies, policies and budgets.  Design algorithms that require a number of different models/methods to be used in an ensemble.  Experience deploying models into production. The Team Analytics & Cognitive In this age of disruption, organizations need to navigate the future with confidence, embracing decision making with clear, data-driven choices that deliver enterprise value in a dynamic business environment. The Analytics & Cognitive team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast troves of data, generate insights, and inform decision-making. Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting organizational intelligence programs and differentiated strategies to win in their chosen markets. Analytics & Cognitive will work with our clients to:  Implement large-scale data ecosystems including data management, governance and the integration of structured and unstructured data to generate insights leveraging cloud-based platforms.  Leverage automation, cognitive and science-based techniques to manage data, predict scenarios and prescribe actions.  Drive operational efficiency by maintaining their data ecosystems, sourcing analytics expertise and providing As-a-Service offerings for continuous insights and improvements. Qualifications Required  Bachelor’s degree or equivalent experience in Statistics/Technology/Science/Engineering/Applied Mathematics or similar quantitative analytics field.  1+ years of experience developing algorithms using data science technologies to build analytical models.  1+ years of experience in modeling using a variety of regression and supervised and unsupervised learning techniques.  1+ years of experience in data wrangling/cleansing, statistical modeling, and programming.  1+ years of experience in data extraction/manipulation using scripts specific to Python and/or R.  1+ years of experience with Python and/or R programming.  1+ years of experience with presentation and data analysis software such as: SAS, R, SPSS, MATLAB, Qlikview, Excel and Access +python.  Travel up to 20% (While 20% of travel is a requirement of the role, due to COVID-19, non-essential travel has been suspended until further notice.)  Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future.  Must be willing to live and work in one of our Center locations: 1.Lake Mary, FL (Orlando area) 2.Mechanicsburg, PA (Harrisburg area) 3.Gilbert, AZ (Phoenix area) Preferred  PhD in a quantitative analytics field.  Experience with Tableau or similar visualization tool.  Business analytics experience in one or more of the following industries: Insurance, Consumer Products and Packaged Goods, and Human Resources.  Experience conducting Modeling and Simulation Analysis, DoD Science and Technology (S&T) Analysis, Program Analysis and Evaluation, C4/IT and Cyber Analysis, Manpower Analysis, Training and Education Analysis, DoD Logistics, Maintenance, and Supply Analysis, Naval Amphibious Shipping Analysis, Strategic Plans Analysis, Strategic Investment Analysis, Cost and Economic Modeling and Analysis, Operations Research Analysis, Readiness Analysis, Force Preservation Analysis.  How you’ll grow  At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there’s always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career.  Benefits At Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits.  Deloitte’s culture Our positive and supportive culture encourages our people to do their best work every day. We celebrate individuals by recognizing their uniqueness and offering them the flexibility to make daily choices that can help them to be healthy, centered, confident, and aware. We offer well-being programs and are continuously looking for new ways to maintain a culture where our people excel and lead healthy, happy lives.  Corporate citizenship Deloitte is led by a purpose: to make an impact that matters. This purpose defines who we are and extends to relationships with our clients, our people and our communities. We believe that business has the power to inspire and transform. We focus on education, giving, skill-based volunteerism, and leadership to help drive positive social impact in our communities. Learn more about Deloitte’s impact on the world.  Recruiter tips We want job seekers exploring opportunities at Deloitte to feel prepared and confident. To help you with your interview, we suggest that you do your research: know some background about the organization and the business area you’re applying to. Check out recruiting tips from Deloitte professionals."
Braavo Capital,Senior Data Scientist,"Braavo is a technology company changing the way mobile entrepreneurs finance and grow their app businesses. Using data, integrations, and automation, Braavo's predictive technology delivers performance-based funding for mobile app businesses on-demand, without dilution or personal guarantees. Braavo integrates directly with app stores, ad networks, and analytics platforms. This gives Braavo a comprehensive view into reported revenue, acquisition metrics, LTV, subscribers, and more. From bootstrapped health & fitness apps to equity-backed mobile games, founders rely on Braavo for insights to scale predictably and capital to drive exceptional outcomes.  Founded in 2015, Braavo is headquartered in New York City. The company has raised nearly $80MM in debt and equity from investors including e.ventures, SWS Venture Capital, SV Angel, BoxGroup, Mark 2 Capital and a number of successful angels and entrepreneurs from the fintech and mobile community.  About the role:   Do you try to explain causation vs. correlation in random social situations?   We understand - data science is in our DNA, too! At Braavo Capital, we're making a bold statement: banks look into the past, but we're looking into the future. We’re lending money based on where an app development business is going, not where it’s been. Leveraging deep integrations with the app stores, ad networks and mobile analytics platforms, we’re reinventing how credit is measured for the businesses shaping our mobile world.   Our data science team is operating at the cutting edge of a revolution in the financial technologies ecosystem - one which is challenging the fundamental assumptions of how modern businesses should be measured, and who should be the ones doing the measurement. We're growing fast and need intelligent, agile data scientists to help us expand and diversify our models. With tens of thousands of data sets at your disposal and hundreds of platform integrations with which to acquire more, keeping busy will definitely not be a problem. Oh, and when we say ""data science"", we're really talking about predictive analytics, machine learning, advanced statistics and any other methodology necessary to solve the business problems at hand.  You've earned an advanced degree in mathematics, statistics and/or computer science You have technical competence using some combination of R, Python & SQL You've got 3+ years applied professional experience, preferably in a startup environment You're enthusiastic about new technologies and methods and believe in ""the right tool for the right job"" You've worked collaboratively with engineering teams to implement your work"
Bytedance,"Data Scientist, Networking","Responsibilities We are looking for candidates with strong networking background, solid data analysis and software development skills, who can utilize data-driven techniques in building solutions to help manage, scale and optimize Bytedance's networking infrastructure.t1. Interact with teams (both internal/external to networking) to understand use cases and define specific requirements for networking data analysis;2. Develop scalable software pipeline for collection and aggregation of a vast amount of data retrieved from underlying networking systems, including but not limited to network resource usage, traffic statistics, device operation status, etc., and make the data universally available for both real-time and retrospective/forensic analysis use cases;3. Develop analytical models to extract statistical properties and causality from and between networking events;4. Continuously make recommendations/predictions based on results derived to optimize networking system efficiency and improve underlying networking infrastructure's availability. Qualifications 1. Bachelor's degree or above in Mathematics, Statistics, Physics, Computer Science, Electrical Engineerings; the master or Ph.D. degree with networking research experience is a plus;2. Strong networking and distributed system background with a solid understanding of common protocols, network monitoring techniques such as sFlow, SNMP, etc; experience in large scale networking system development is a plus;3. Hands-on experience handling terabyte size datasets, applying statistics and machine learning techniques and algorithms, using visualization tools to present data;3. Master of at least one of the mainstream coding languages including Python, Java, R, Scala, Go, C++, etc, and capability to read and understand others;4. Great verbal and written communication skills."
Cerebri AI,Data Scientist,"Design, develop, test, advocate, evangelize and build data-driven products that help our customers improve business decisions. You will provide insight into analytic practices, design and lead iterative learning and development cycles.  Responsibilities Understanding and worked with database systems. Understanding and worked with machine learning algorithms. Perform feature analysis. Develop ontology for key market segments. Develop outcome/event taxonomy for key business models. Build utility code and handle miscellaneous support tasks. Documenting software projects and maintaining project documentation. Working in a team environment as well as working alone. Qualifications Experience with Big Data, artificial intelligence, natural language processing, machine learning and/or deep learning. Python programming skills with two (2) years or more of Python experience. Good verbal and written communication skills. Knowledge of professional software engineering practices and best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations. Master's degree or six (6) years related work experience delivering quality code on time. Tools we use... Confluence JIRA Spark Azure Python Keras Scikit-learn Bit bucket Jupyter Notebook Scala MonetdB OrientDB Nice to haves... Experience in some subset of the following: Java, R, Python, SQL, Scala, Spark. Ph.D. in operations research, applied statistics, data mining, machine learning, physics or a related quantitative discipline. Deep understanding of statistical and predictive modeling concepts, machine-learning approaches, clustering and classification techniques, supervised learning, recommendation and optimization algorithms."
The RiverStone Group,Data Scientist,"Job Title Data Scientist Summary As a key member of our team at RiverStone, you will be collaborating with different engineering and operations teams and leading development machine learning solutions for a variety of tasks and projects. You will be responsible for delivering projects from end-to-end: problem statement and conceptualization, proof-of-concept, and participation in final deployment. You will also perform ad-hoc statistical and data science analyses. Our ideal candidates are smart, creative, analytical thinkers with attention to detail. You will also work closely with data engineers, developers and modeling analysts to generate seamless business solutions. You will be expected to present results of analyses to a wide range of audiences including executives. Essential Functions Collaborate with multiple business and information technology units to understand company needs and propose solutions Implement new statistical or other mathematical methodologies as needed for specific models or analysis. Organize and synthesize data into actionable business decisions, focused on insights. Related Functions: Establishes and maintains effective working relationships, both internally and externally Maintains and communicates on a regular basis the progress against department goals/objectives and priorities to Director of Data Science and Innovation Compile, review, verify and analyze related external and internal insurance data including completed models for benchmarking of results Organizational Develops creative ideas and solutions to real time business problems and/or business opportunities; takes reasonable, calculated risks even if failure is possible. Empowers self and teammates to continuously improve RiverStone’s business processes/ systems and develops and escalates ideas and solutions. Consistently delivers superior customer service to both internal and external business partners. Demonstrates alignment with RiverStone’s Commitments. Prioritizes and organizes work in self-directed manner. Attains and maintains knowledge of assigned department. Performs other duties as required, including supporting and coordinating with other department colleagues. Required Skills Ability to tell meaningful stories with data. Minimum four years of proven hands-on experience applying machine learning techniques to build models integrated into applications. Strong working knowledge of machine learning/data mining algorithms (deep learning, classification, clustering, etc), experience with Image Analysis/Computer Vision is a plus. Understand algorithms (be able to tweak them when needed) as well as infrastructure that enables fast iterations Strong software development skills with proficiency in Python and R. Experienced user of libraries such as scikit-learn, scipy, R, NetworkX, Spacy, and NLTK. Good understanding of deep learning algorithms and workflows, and experience with CNTK, Caffe, MXNet or TensorFlow is a plus. Experience in Hadoop, Spark, Hive, Cassandra, Kafka and NoSQL databases is a plus Familiarity with SQL programing Experience 3+ years’ experience applying machine learning techniques to real business problems. Property & Casualty Insurance experience encouraged, but not required Required Education Master of Applied Math, Machine Learning, Data Science, Statistics, Operations Research or related fields Supervisory Role None Travel Minimal, less than 10% Work Environment / Physical Demands This position operates in a professional cubicle based collaborative environment and must have the ability to timely produce thorough, accurate work with many competing demands, deadlines, and distractions. The position uses standard equipment such as phones, computers, copiers/printers and filing cabinets. Noise level is moderate. While this is a largely sedentary role, the employee is regularly required to talk or hear; stand; walk; bend; use hands to handle or feel; and reach with hands and arms. On occasion the individual must be able to lift and transport boxes weighing up to 30 pounds. Other Duties (Disclaimer Statement) RiverStone retains the right to change or assign other duties to this position as needed, OR Other duties or responsibilities may change or be assigned as needed. Core Competencies Learning on the Fly: Learns quickly when facing new problems; a relentless and versatile learner; open to change; analyzes both successes and failures for clues to improvement; experiments and will try anything to find solutions; enjoys the challenge of unfamiliar tasks; quickly grasps the essence and the underlying structure of anything. Problem Solving: Uses rigorous logic and methods to solve difficult problems with effective solutions; probes all fruitful sources for answers; can see hidden problems; is excellent at honest analysis; looks beyond the obvious and doesn’t stop at the first answers. Process Management: Good at figuring out the processes necessary to get things done; knows how to organize people and activities; understands how to separate and combine tasks into efficient flow; knows what to measure and how to measure it; can see opportunities for synergy and integration where others can’t; can simplify complex processes; gets more out of fewer resources. Sizing Up People: Is a good judge of talent; after reasonable exposure, can articulate the strengths and limitations of people inside or outside the organization; can accurately project what people are likely to do across a variety of situations. Ethics and Values: Adheres to an appropriate (for the setting) and effective set of core values and beliefs during both good and bad times; acts in line with those values; rewards the right values and disapproves of others; practices what he/she preaches. Technical Learning: Picks up on technical things quickly; can learn new skills and knowledge; is good at learning new industry, company, product, or technical knowledge – like internet technology; does well in technical courses and seminars. Managing Vision and Purpose: Communicates a compelling and inspired vision or sense of core purpose; talks beyond today; talks about possibilities; is optimistic; creates mileposts and symbols to rally support behind the vision; makes the vision sharable by everyone; can inspire and motivate entire units or organizations. Creativity: Comes up with a lot of new and unique ideas; easily makes connections among previously unrelated notions; tends to be seen as original and value-added in brainstorming settings. Managing and Measuring Work: Clearly assigns responsibility for tasks and decisions; sets clear objectives and measures; monitors process, progress, and results; designs feedback loops into work."
Dewpoint Therapeutics,"Data Scientist, Drug Discovery","Dewpoint Therapeutics is building a highly collaborative team to harness the power of biomolecular condensates. Together, we are leveraging a transformative shift in the understanding of cellular biology to discover and advance breakthrough therapeutics for the toughest diseases.  We are looking for an energetic and collaborative data scientist to join our team and build our capabilities in HTS data management, bioinformatics, and cheminformatics. The ideal candidate will join the Screening and Data Science team and take on the following tasks, with the expectation that the role will grow and evolve as our company develops.  In this position you’ll be part of an energizing and supportive startup culture engaged in continuous learning, and part of an exceptional international team. This role is based at our site in Boston's Seaport district. Dewpoint offers competitive salary and benefits.  Responsibilities  Collaborate with project teams to analyze HTS, bioinformatic and cheminformatic information, both internally generated and from external sources Direct the development of bioinformatics and cheminformatics infrastructure at Dewpoint, including machine learning capabilities Setup efficient data processing workflows and provide general data analysis support Manage our biological assay data and chemical information repository using the platform CDD Vault  Qualifications  BS/MS with 5/6 years of experience or PhD with at least 2/3 years of experience in computational biology, bioinformatics, , computer science or related field Fluency in one or more programming languages (R or Python) along with data workflow and visualization tools (e.g. KNIME and Spotfire) and experience with machine learning algorithms Experience with current analysis methods for mining ‘omics data (genomics, epigenetics, proteomics). Familiarity with techniques such as RNA-Seq or ChIP-Seq is a plus Successful track record of contributing to drug discovery project teams and forming productive working relationships with scientific collaborators Strong attention to detail, ability to balance multiple projects, and a commitment to learning Excellent communications skills and ability to train and mentor junior colleagues Ability to communicate effectively in English, the shared language of our multicultural team"
"GrainBridge, LLC",Data Scientist,"DESCRIPTION GrainBridge is seeking a talented data scientist who is passionate about technology to help us build the next generation of Ag software for the world’s producers. Successful candidates will have the opportunity to join our highly collaborative team and to work with the latest cloud technology stacks while building enterprise customer-facing Ag technologies.  As a data scientist at GrainBridge you will develop cutting edge data pipelines, build accurate statistical/predictive models, and deploy cloud technologies that provide forecasting insights and predictive decision support capabilities to producers throughout the world. We are looking for a talented, driven, and analytical individual to help us discover innovative ways to leverage data that will fundamentally change the way the producers manage their operations.  KEY RESPONSIBILITIES Work with executive management, product and engineering teams to imagine innovative ways to utilize data in order to provide valuable insights to our customers Develop solutions through ad hoc analysis, statistical inference, predictive modeling and scalable algorithms/models to solve specific business problems Develop new data sources, testing models and model parameters Design and develop predictive systems Collaborate with executive management, product and engineering to define feature requirements, provide analytical support, and communicate feedback Analyze complex third-party datasets to determine the desirability of and the use cases for their data Create visualizations to drive data insights Mentor data architects and engineers  BASIC QUALIFICATIONS Masters degree in a quantitative field (data science, computer science, mathematics, machine learning, AI, statistics, or any math-intensive degree program) 3+ years of experience working in data science with large-scale, complex datasets that support machine learning, predictive analytics, forecasting and optimization models Experience with Python and Jupyter notebooks Demonstrated ability to quantify and deliver customer experience improvements as a result of research Ability to distill informal customer requirements into concise problem definitions Experience working with SQL and relational/NoSQL databases Ability to adapt modeling methods from other disciplines and apply them to new problem domains Excellent communication and data presentation skills, including the ability to effectively collaborate with executive management, product and engineering teams Strong mathematical background  PREFERRED QUALIFICATIONS PhD in a quantitative field (data science, computer science, mathematics, machine learning, AI, statistics, or any math-intensive degree program) Experience applying data science to Ag-related applications Familiarity with causal inference, applied time series modeling, machine learning forecasting applications and associated tools/technologies Practical understanding of supervised and unsupervised learning methods and mathematical optimization Experience building customer-facing data visualizations Familiarity with AWS cloud technologies that support data science, machine learning, analytics and big data storage"
Dun & Bradstreet,Data Scientist,"Why We Work at Dun & Bradstreet We are at a transformational moment in our company journey - and we’re so excited about it. Each day, we are finding new ways to strengthen our award-winning culture, and to accelerate creativity, innovation and growth. Our purpose is to help customers improve business performance with Dun & Bradstreet’s Data Cloud and Live Business Identity, and we’re wildly passionate and committed to this purpose. So, if you’re looking to make an immediate impact at a company that welcomes bold and diverse thinking, come join us! As a Data Scientist, you will develop novel solutions to market-driven problems using knowledge of the latest ML techniques, rigorous statistical analysis, and practical experience on previous data science projects. You will collaborate with internal and external stakeholders (external customers, other D&B data scientists, sales team members, business unit product leaders, development teams, and global partners) to understand business needs and technical requirements. You will also: Serve as a Subject Matter Expert on internal D&B data, and estimation of business size. Participate and support other teams as needed for all aspects of model development, including design, model implementation, validation, calibration, documentation, product implementation, monitoring, and reporting Research complex business issues and recommend solutions, including customer data input requirements, other required data sets, modeling approaches, and end products Basic Qualifications: Masters in a quantitative / applied field (Engineering, Computer Science, Operations Research, Mathematics, Data Science, Economics, Statistics). 2+ years of experience in data science roles. Strong knowledge of programming and modeling using Python, R, or SAS. Strong SQL skills and experience working with large data sets. Experience working collaboratively, including building and maintaining relationships with internal and external stakeholders/clients. Experience advising a team on innovative methodologies, data science tools, and environments. Experience communicating complex ideas to both a technical and non-technical audience. Experience applying modern machine learning techniques. Preferred Qualities Creative and inquisitive in nature, flexibility to learn and apply new methodologies. Strong writing skills. Dun & Bradstreet is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, age, national origin, citizenship status, disability status, sexual orientation, gender identity or expression, pregnancy, genetic information, protected military and veteran status, ancestry, marital status, medical condition (cancer and genetic characteristics) or any other characteristic protected by law.  We are committed to Equal Employment Opportunity and providing reasonable accommodations to applicants with physical and/or mental disabilities. If you are interested in applying for employment with Dun & Bradstreet and need special assistance or an accommodation to use our website or to apply for a position, please send an e-mail with your request to TalentAcquisitionTeam@dnb.com. Determination on requests for reasonable accommodation are made on a case-by-case basis. Please note that all Dun & Bradstreet job postings can be found at https://dnb.wd1.myworkdayjobs.com/Careers and all communication from Dun & Bradstreet will come from an email address ending in @dnb.com."
Nielsen,Sr. Data Scientist (Multiple Openings),"Sr. Data Scientist (Multiple Openings) - 63682 Data Science - USA Chicago, Illinois  Founded in 1923, Nielsen is the global authority on the consumer. We help over 20,000 clients, from Coca-Cola to Walmart to Apple to Disney, in 105 countries understand consumers and grow their businesses, every day. The company is organized into two areas: What Consumers Watch, serving media, telecom and tech industries; and What Consumers Buy, serving consumer goods, retail, financial services and automotive industries.  In this role, you will be responsible for: Gather business requirements and create technical requirements for statistical analytics solutions. Create data processing systems for production purposes. Using established Nielsen development, testing and deployment practices, draft design documents that are presented to internal and external stakeholders. Present material to internal department stakeholders. Partner with the Software Engineering department to build best-of-class Cloud-based analytical solutions based on the Agile solutions development methodology. Implement statistical and econometric models. Analyze (i.e., to determine the quality of) econometric models, and implement and analyze supervised and unsupervised learning approaches. Write modules for Nielsen analytics platform. Prototype and design analytic methods. Extract, and conduct quality assurance for, market research/marketing, economic and company data from different external and internal platforms. Conduct research to identify new quality assurance measures. Train and mentor (without supervisory authority) 1-2 Data Scientists. Involves domestic travel, 1-2 times per year, for up to 2-3 days per trip. Tools used include: SQL, Python, Pandas, Scikit Learn, R, Spark MLib and Scala.  FOR THIS ROLE, WE ARE LOOKING FOR INDIVIDUALS THAT HAVE:Minimum Requirements: Master’s degree in statistics, mathematics, economics, or a related hard science, social science or engineering field with a quantitative focus, such as computer science or engineering, physics, chemistry or sociology (foreign equivalent degree acceptable) plus 3 years of experience in conducting data modeling and statistical analysis using large and complex (at least 10 GB) datasets (would also accept a Ph.D. in such a field plus 1 year of experience). This must include: 3 years of experience (or 1 year of experience after a Ph.D.) in/with: gathering data requirements for statistical, econometric and/or predictive analytics research that drives market research/marketing analytics product innovation and implementation; handling large volumes (at least 10 GB) of structured and unstructured data; Python and its libraries (such as Pandas, Numypy and/or SciKit Learn), SQL, Spark, and R, all via a Cloud-based platform (such as AWS and/or Azure). 1 year of experience in/with: building efficient data processing pipelines for analytical systems; and Airflow. Must be willing to travel domestically, 1-2 times per year, for 2-3 days per trip.  #LI-DNP  ABOUT NIELSEN We’re in tune with what the world is watching, buying, and everything in between. If you can think of it, we’re measuring it. We sift through the small stuff and piece together big pictures to provide a comprehensive understanding of what’s happening now and what’s coming next for our clients. Today’s data is tomorrow’s marketplace revelation. We like to be in the middle of the action. That’s why you can find us at work in over 100 countries. From global industry leaders to small businesses, consumer goods to media companies, we work with them all. We’re bringing in data 24/7 and the possibilities are endless. See what’s next with us at Nielsen: careers.nielsen.com  Nielsen is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action-Employer, making decisions without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, protected veteran status or any other protected class. Job Type: Regular Primary Location : Chicago , Illinois Secondary Locations: , , , Travel: Yes, 5% of the Time"
Advanced Recovery Systems,Marketing Data Scientist,"We are looking for a Marketing Data Scientist Data Scientist will provide support in maintaining and implementing data driven tools to support digital marketing, sales and Intake team. Provide hand-on support for 'ad-hoc' and scheduled requests for all marketing related KPIs and reporting requests. Perform data munging, data quality validation, outlier detection, test automation. Build and test AI models. Primary Responsibilities:  Responsible for helping Advanced Recovery Systems to transform raw data into action items and in finding and implementing process improvement ideas.  Work through all stages of a data solution lifecycle, e.g., analyze / profile data, create conceptual, logical and physical data model designs, architect and design ETL, reporting and analytics  Provides hand-on support for 'ad-hoc' and scheduled requests for all marketing related KPIs.  Perform data munging, data quality validation, outlier detection, test automation, and create ETL jobs.  Use exploratory data analysis techniques to identify meaningful relationships, patterns, or trends from complex data sets and discover opportunities in datasets to support decision-making  Develop predictive models and new algorithms to solve data / business problems  Run correlation, clustering, segmentation analysis as required.  Understand the math and statistics behind the models and interpret, extrapolate, and prescribe from data to deliver actionable recommendations using effective visualizations  Provide research and administrative assistance for special projects as assigned. Qualifications:  Experience (0-3 years) in data analytics  Bachelors or Masters degree in field of Computer Science or Data Science  Ability to prioritize multiple projects, work under tight deadlines, and handle changing priorities.  Results oriented with strong problem-solving and analytical skills.  SQL Knowledge  Experience with any data science tools/packages: Python, R, SAS, XGBoost, TensorFlow, NLTK  Experience with Microsoft Power BI a plus. We offer great benefits including 401(k), generous paid time off plan, medical, dental, vision, and much more. The Recovery Village is part of Advanced Recovery Systems, a national integrated behavior healthcare management company dedicated to the treatment of addiction, substance abuse, eating disorders and mental health issues. The Company complies with state and federal nondiscrimination laws and policies that prohibit discrimination based on age, color, disability, national origin, race, religion, or sex. It is unlawful to retaliate against individuals or groups based on the basis of their participation in a complaint of discrimination or on the basis of their opposition to discriminatory practices/EEO. We are proud to be a drug-free workplace."
