;sentence
43;assurance require test coverage ( cycle scenario ) , confirm/monitor detailed test phase entry/exit criterion , assure test cases/scripts user test , plan tester participation logistics eg..
44;creation test lab and/or remote test access co-ordinate kpmg test data definition generation user test .
45;co-ordinate user test execution , include ensure tester available test require , required system access , know process follow .
46;monitor defect management process ensure effective logging , triaging re-testing defect .
47;provide guidance support require ssp/tvp personnel regard erp testing activity .
48;maintain apply knowledge technology use test activity .
49;input resource cost estimate erp test activity .
50;knowledge technology use within ssp / tvp police force apply knowledge test process , along legislative industry best practice guideline .
51;continuously identify improvement test process associate documentation .
52;knowledge , skill experience essential post holder : excellent organisational time management skill enable post holder co-ordinate testing activity agree quality timescales excellent verbal write communication skill enable post holder liaise non-technical force personnel , communicate progress stakeholder analytical problem solve skill desirable post holder : awareness test activity require deliver complex programme .
53;awareness business process area scope erp programme : finance , hr , l & d , payroll , fleet , duty job requirement post holder must possession current full uk drive licence able travel across surrey sussex .
54;post holder must willing undertake drive assessment order able drive unidentifiable police vehicle .
55;postholder require work ssp / tvp sit therefore expect travel location across county part role .
56;organisational fit key relationship post holder ’ s responsibility entail interaction follow stakeholder .
57;erp programme team erp programme stakeholder external consultant ssp tvp business technical team force , pccs external third-party organisation post holder note duty responsibility detail job profile require compliance nationally agree operating rule access pnc information system .
58;pnc code connection volume 1 ( version 2.1 ) data protection act 1998 computer misuse act 1990 official secret act 1989
59;job description java developer ideal candidate aid designing , develop , implement web-based java application support business requirement .
60;expect knowledgeable agile methodology , create design document , skilled cod testing .
61;resolve technical issue debug , research , investigation .
62;require bachelor 's degree area specialty .
63;expect function minimal supervision also work well group meet strict deadline .
64;look 1 3 year related experience .
65;gain exposure complex task within job function new technology .
66;motivation key !
67;require skill : java cod experience basic understanding web application experience version control software willing learn outside area expertise additional skill plus spring familiarization tomcat familiarization javascript cod mobile development android io linux user zoccam innovative software company facilitate delivery payment document use mobile technology .
68;information , visit wwwz.occamc.om , join us fbc.om/zoccamre twitterc.om/zoccamre .
69;contact : denis j .
70;alexander vp product business development 5950 berkshire lane , suite 1200 dallas , texas 75225 office : 214.247.6500 email :
71;classification title code/title : web application developer ii exempt status : exempt *exemption may subject applicable salary requirement department labor pay grade : 69 job summary : plan develop new current web functionality application .
72;provide support maintenance new current application .
73;gather analyze requirement university department , faculty , staff .
74;ensures web function accessibility compliant .
75;incorporates responsive web design technology site development .
76;manages web development use revision control software .
77;"essential duty responsibility plan develop new web functionality/applications : gather analyze requirement university department , faculty , staff ;"
78;"develops locally-created tool facilitate use university website , include plan , research , code , test , deploy ;"
79;"provide support maintenance new application ;"
80;"serf point new application and/or update launch ;"
81;"ensure new web function accessibility compliant ;"
82;"incorporates responsive web design technology site development maintain current web functionality/applications : corrects arise issue within web functionality/applications need ;"
83;"enhances web functionality/applications regular communication university personnel ;"
84;"provide support maintenance current functionality/applications ;"
85;"periodically audit current web function ensure accessibility compliance ;"
86;"performs debug necessary ;"
87;"manages web development use revision control software research recommend emerge application development technology tool possible implementation web service projects* provide instruction troubleshoot faculty , staff , student ;"
88;performs usability user-experience development test document represent major duty , responsibility , authority job , intend complete list task function .
89;duty may assign .
90;"additional responsibility minimum requirement education –bachelor ’ s degree computer information system , computer science , closely related field , or , equivalent combination education , training , experience ;"
91;experience – three year experience web development/programming relational database produce dynamic web-based application .
92;experience consult and/or strategy web development/programming responsive web development .
93;knowledge , skill , ability experience asp/aspn.et ( or similar language ) , sql server ( or similar ) , ms server 2008/iis 7 , javascript , ajax , jquery , json , xml , html , cs , sc .
94;experience debug web include chrome/android mobile safari registration , certification , licensure supervision received/given work general supervision generally supervise others .
95;requirement *
96;embed software engineer job description template overview embed software software write ensure smooth function specially design hardware .
97;type embed software use several different thing like car , toy , security system , television , robot , etc .
98;also particularly useful missile , airplane , system process , control form crucial part operation particular product .
99;thus , embed software engineer responsibility play vital role daily live well help us advance .
100;job duty design implement software embed device system requirement production commercial deployment design , develop , code , test debug system software review code design analyse enhance efficiency , stability scalability system resource integrate validate new product design support software qa optimise i/o performance provide post production support interface hardware design development ass third party open source software skill proven work experience software engineering b degree computer science engineering experience hands-on development troubleshoot embed target solid program experience c c++ proven experience embed system design preemptive , multitasking real-time operate system familiarity software configuration management tool , defect tracking tool , peer review excellent knowledge os cod technique , ip protocol , interface hardware subsystems adequate knowledge read schematic data sheet component strong documentation writing skill
101;change live million people deliver world-class learning experience via product .
102;beginning , vision unlock learn potential everything bbc do , make learn feel effortless wake sustain natural curiosity audience , connect service build around world-class bbc content .
103;alongside , responsible deliver responsive digital experience bbc property , , .
104;make mistake , commit develop ground-breaking product push boundary audience – challenge creative , technical collaborative skill people .
105;join team commit journey ahead return give opportunity make real difference bbc 's online mission .
106;learning , develop spark curiosity part culture , join team really care development technical skill , career aspiration contribution great team culture .
107;build product use continuous delivery technique aws strong focus javascript , rest base service , html5 , css3 fully responsive web solution across device modern front-end pipeline .
108;fully automate build pipeline deploy multiple time day really focus great agile , bdd tdd practice .
109;look superb enthusiastic web developer push boundary engineering best quality also re-engineering approach building software .
110;expect love passion web development , new technology solid understanding web technology .
111;essential skill & experience proficient write robust web software work really well , fast load work cross-browser & device .
112;understand web sit work start request response .
113;proficient write good quality object-oriented code use php javascript .
114;proficient html 5 , ajax , jquery , bootsrapping , xhtml , http xml .
115;understand aws continuous delivery experience .
116;proficient style apply design web page use cs include use css3 technique .
117;demonstrable competence one mainstream development framework design pattern example mvc .
118;strong understanding web service ( eg..
119;restful service ) , include ability programmatically interact data format may include xml , json rdf .
120;experience design execution effective functional test .
121;experience use continuous integration integral part project .
122;understand major browser browser development tool .
123;work knowledge major operate system , include window , osx linux .
124;key responsibility build , design deliver high quality , high volume , high availability high performance solution line guidance best practice department .
125;deliver solution application bdd , tdd pair programming .
126;collaborate team stakeholder achieve successful delivery high quality software product .
127;design develop reusable library , apis code easy maintain , understand re-use .
128;learn new technology keep abreast exist technology able apply variety project applicable work test operation team troubleshoot resolve issue throughout life cycle .
129;provide time resource estimate assist plan project .
130;work 3rd party ( `` indie '' ) necessary offering direction , support documentation .
131;write implement acceptance criterion unit test include automation test case verify functional non-functional requirement feature .
132;contribute evolution best practice department .
133;take view product ensure delivery meet audience ambition .
134;write , review take responsibility clear , concise comprehensive technical documentation .
135;devops support live product .
136;core competency
137;whirldata lab private limited headquarter fremont , ca , united state development centre chennai , provide intelligent data service special focus big data , artificial intelligence , iot , chatbots , machine learn deep learning .
138;pleased campus event mahendra engineering college fresh hire requirement furnish position : data analyst / software developer interview process : write program test ( c c++ java ) job location : chennai job description : we 're look people passion programming , self-learners open learn new technology provide cut edge solution customer .
139;resource excellent problem solve ability good programming skill .
140;skill : good c/c++/java program skill solid understanding oops concept good analytical problem solve skill good communication skill knowledge tensorflow , neural network add advantage salary : 3l/a 5l/a ( base skill & performance interview ) education : branch – clear 60 % preliminary interview write programming test shortlist student subsequent f2f technical interview offshore development centre , guindy , chennai .
141;role : project technologist ( user experience ) – six-month attachment division : future medium department : research & development ( r & d ) grade : 8 base in : mediacityuk , salford quay context internal bbc attachment opportunity talented software engineer , developer architect join bbc r & d ’ s user experience ( ux ) group north lab salford .
142;ux group carry research development project 1-5 year timescale , create successful innovative experience audience content creator .
143;candidate likely degree field science , engineering computing , also welcome application talented software expert different background , demonstrate breadth depth engineering skill technical knowledge .
144;"attachment , particularly interested knowledge successful candidate bring experience software role elsewhere bbc ;"
145;include specific technology , platform development practice use .
146;"bbc r & d role within research & development ;"
147;part bbc future medium division .
148;bbc r & d worldwide reputation contribute lead engineering research development many key broadcast technology introduce last 50 year .
149;research work mainly new technology expect roll 1 5 year timescale , require in-depth theoretical knowledge also practical approach potential deployment .
150;bbc r & d base three lab , one west london , one grown salford one collaboration university central london .
151;team work closely wide range bbc , industrial academic partner develop solution research across range technology .
152;information project undertake bbc r & d find at : purpose role specific aim r & d technologist inventive expert creative problem help bbc use cutting-edge technology creative successful experience user .
153;whether user production colleague need best craft tool , member diverse audience wide range aspiration requirement , bbc rich successful history scientific engineering research development .
154;work take us create access service disable user , range tool transform tv production , synchronise hybrid broadcast-internet content span user ’ device connect home .
155;2015 new interaction technology , multiple screen , next generation internet standard , age diversify range user , challenge research , prototyping develop new way bbc 's audience interact broadcast online service remain exciting strategically important .
156;role project technologist , work technology enable accessible effective user experience audience .
157;current key project include develop production audience experience personalise , highly responsive content , data science describe them .
158;work partner across bbc 's broadcast online team , well university research partner .
159;require design develop software prototypes demonstrate principle business impact r & d work .
160;appropriate , able work scale system user research , deployment transfer .
161;"general aim project technologist responsible research development project ;"
162;either small project stand alone , part large project work project leader .
163;project may deliver hardware software system , technical standard , research knowledge .
164;also require provide technical advice consultancy within field expertise .
165;may involve stage project , feasibility study implementation delivery business .
166;you ’ ll every opportunity develop skill see ideas completion , often operational service .
167;key responsibility specific responsibility job develop prototype system support research new type user experience web , mobile internet-connected tv .
168;help invent prototype creative technology user bbc production environment , support next generation production technology .
169;create software tools investigate impact emerge radical interaction technology – touchscreen , gesture voice control , haptic interface beyond .
170;research contribute emerge technology web standard could support integration synchronisation experience span multiple device connect home .
171;work user experience designer , user research scientist user conduct experiment assess impact value prototype technology .
172;contribute engineering program expertise related project enhance disabled , old user ' experience bbc content .
173;publish appropriate work academic professional journal present conference .
174;help develop maintain project specific system use work .
175;skill , experience qualification attachment , welcome application experience software developer , include without formal programming qualification provide demonstrate appropriate programming skill gain professional self-taught environment .
176;essential least four year professional programming experience , preferably include experience develop algorithms strongly type language ( eg..
177;c++ java ) , well web platform ( eg..
178;javascript , python , ruby ) .
179;"experience develop software part bbc future medium ’ s range digital product demonstrable ability identify , refine resolve important transformational problem research question cutting-edge technology ;"
180;use inventiveness , creativity technical development work high quality .
181;ability enthusiasm develop original solution approach technical challenge , additional experience work effectively team .
182;demonstrable interest user interface interaction technology .
183;either upper second class degree high ( or equivalent ) computer science , electronic engineering , physic similar relevant science engineering subject ( for candidate unconventional technical background ) equivalent relevant technical knowledge expertise obtain significant , demonstrable experience contribution appropriate technical project scientific , engineering creative field .
184;desirable experience software development practice ( include agile / scrum , experience drive development , kanban ) use within bbc future medium post-graduate degree equivalent experience engineering/scientific research development experience develop advanced interaction technique ( eg..
185;face recognition , voice interface , gesture capture ) current user interface technology ( eg..
186;"html5 , webgl , 3-d render / real-time graphic ) addition excellent programming skill , interest experience technology allow software impact physical hardware bbc audience ;"
187;include audio-visual signal processing , microcontrollers electronics computational architecture bbc competency technical knowledge - able demonstrate technical knowledge theoretical principle , specific equipment system , area research development relevant bbc r & d technical skill - methodology , operational manual skill order carry require work area research development relevant bbc r & d flexibility innovation - ability adapt new situation devise improvement current situation .
188;demonstrate ability apply skill experience new problem area research .
189;resilience - maintain personal effectiveness manage emotion face pressure , set back deal provocative situation .
190;demonstrate approach work characterise commitment , motivation energy .
191;self development - able identify apply opportunity learn development self others analytical think - able simplify complex problem , process project component part , explore evaluate systematically .
192;able identify causal relationship construct framework , problem solve and/or development .
193;plan organise skill - able think ahead order establish effective appropriate course action self others .
194;prioritises plan activity take account relevant issue factor deadline , staff resource requirement .
195;manage relationship - able build maintain effective work relationship range people .
196;communication - able get message understand clearly adopt range style , tool technique appropriate audience nature information .
197;health safety awareness - knowledge understanding risk health safety everyone workplace , risk minimise .
198;front end developer – job description july 2019 paul street front end manager job title : front end developer job summary : skilled front end web developer require join front end team produce innovative sport bet product central london .
199;experience work sport bet / gaming industry would beneficial must .
200;ideal candidate join collaborate exist front-end team .
201;"demonstrate ability work across different area stage web product development : understanding business requirement ;"
202;"javascript development ;"
203;"testing ;"
204;apply change customer environment .
205;responsibility duty : develop new feature within exist product framework apply appropriate coding pattern identify fix bug accurately estimate development work end-to-end test review developer 's code mentoring less senior developer handle direct customer contact occasion perform live customer release provide third tier technical support ( include normal office hour require ) skill qualification : essential : good javascript es6 specification knowledge experience test methodology , ideally use jest javascript unit test understand good website design mobile-first principle understand javascript bundler process ( commonjs , amd , es6 ) github beneficial : understanding seo consideration conversion/retention pixel base track system marionette ( backbone ) framework websockets ext j ( sencha ) cordova
206;"job description intrasoft international , leading european solution provider , seek professional cover follow opening : senior n.et developer ( thessaloniki ) role part team follow key responsibility : develop efficient , robust , scalable maintainable code use high-level programming language perform code review area responsibility interact senior personnel consider design , development project plan approach perform task breakdown , effort analysis prioritization assign work follow establish practice procedure achieve overall project performance , schedule , quality standard review technical documentation collaborate effectively fellow engineer quality assurance customer support job requirement require qualification : university degree computer science , software engineering relevant field 8+ year proven professional experience software engineer ;"
207;demonstrated success develop variety software system take increase responsibility analysis , design , implementation deployment task familiarity web application design development principle experience aspn.et web development c # /vbn.et experience rdbms strong knowledge web technology include html5 , css3 , javascript , jquery , ajax exposure javascript framework reactjs , knockoutjs , angularjs backbonej.s .
208;solid oo program skill experience using/creating rest soap apis experience source-control management concept tool experience multi-threaded network program familiarity project management methodology excellent command english language ( oral , write ) availability travel abroad desire qualification : knowledge discipline software engineering process ( waterfall , agile ) knowledge internet technology ( eg..
209;html , xml ) , internetworking protocol ( eg..
210;ip , tcp http ) experience nosql database experience sap crystal report experience oracle programming ( pl/sql ) knowledge cloud service architecture script language ( eg..
211;perl , python ) personal characteristic : communication skill methodical , quality results-oriented ability work within tight timeline ability learn new technology good interpersonal skill , adaptive team player intrasoft intrasoft international provide creative , challenge dynamic multinational environment encourages team spirit , cooperation continuous learning .
212;information regard company , current project open around europe , please consult website : wwwi.ntrasoft-intlc.om .
213;application treat strictly confidential .
214;"job description intrasoft international , leading european solution provider , seek professional cover follow opening : mid n.et developer role part team follow key responsibility : develop efficient , robust , scalable maintainable code use high-level programming language perform code review area responsibility interact senior personnel consider design , development project plan approach perform task breakdown , effort analysis prioritization assign work follow establish practice procedure achieve overall project performance , schedule , quality standard review technical documentation collaborate effectively fellow engineer quality assurance customer support job requirement require qualification : university degree computer science , software engineering relevant field 3+ year proven professional experience software engineer ;"
215;demonstrated success develop variety software system take increase responsibility analysis , design , implementation deployment task familiarity web application design development principle experience aspn.et web development c # /vbn.et experience rdbms strong knowledge web technology include html5 , css3 , javascript , jquery , ajax solid oo program skill experience using/creating rest soap apis experience source-control management concept tool experience multi-threaded network program familiarity project management methodology excellent command english language ( oral , write ) availability travel abroad desire qualification : knowledge discipline software engineering process ( waterfall , agile ) knowledge internet technology ( eg..
216;html , xml ) , internetworking protocol ( eg..
217;ip , tcp http ) experience nosql database experience sap crystal report experience oracle programming ( pl/sql ) knowledge cloud service architecture script language ( eg..
218;perl , python ) personal characteristic : communication skill methodical , quality results-oriented ability work within tight timeline ability learn new technology good interpersonal skill , adaptive team player intrasoft intrasoft international provide creative , challenge dynamic multinational environment encourages team spirit , cooperation continuous learning .
219;information regard company , current project open around europe , please consult website : wwwi.ntrasoft-intlc.om .
220;application treat strictly confidential .
221;job description intrasoft international , leading european solution provider seek professional athens branch , cover follow opening : senior java/jee software engineer role part team follow key responsibility : design , develop , test maintain web application perform full range complex programming task use variety web application base program technology language , keep current new programming technique .
222;develop maintain code application library , instruction , technical documentation .
223;collaborate team member understand requirement propose solution engage ux visual designer implement highly intuitive user experience provide technical assessment , solution proposal , time estimate development task participate peer code review embrace opportunity enhance skill knowledge job requirement require skill : bsc degree computer science , software engineering related discipline 8+ year experience work javaee solid experience spring framework expert html5/css3/javascript/ajax exposure javascript mv* framework angularjs , ember , react , knockout , backbonej.s .
224;hands-on knowledge soap base web service integration oracle 11g/12c db experience experience source control ( git , subversion etc .
225;") build tool ( maven ) work knowledge general web landscape , architecture , trend , emerge technology personal characteristic : communication skill methodical , quality results-oriented ability willingness work pressure meet tight deadline ability learn new technology good interpersonal skill , adaptive team player intrasoft ;"
226;intrasoft international provide creative , challenge dynamic multinational environment encourages team spirit , cooperation continuous learning .
227;information regard company , current project open around europe , please consult website : wwwi.ntrasoft-intlc.om .
228;application treat strictly confidential .
229;job description intrasoft international , leading european solution provider , seek professional cover follow opening : junior java developer role appropriate candidate part team responsible analysis , design , development test java/jee application intend telecom operator .
230;"job requirement require skill : university degree computer science relevant field excellent knowledge java solid understanding object orient program design pattern good knowledge html5 , css3 jquery equivalent javascript framework good understanding java ee architecture enterprise web application strong background jee technology : jsp/servlet , jdbc , jpa , ejb , jms , web service ( rest , soap , json ) jee application server experience preferably least one weblogic , jboss , websphere good knowledge oracle pl/sql excellent command english language ( write & verbal ) desire skill : familiarity junit , unit test continuous integration best practice experience spring , maven , jenkins , sonar plus knowledge esb/bpm concept soa principle experience linux unix os personal characteristic : strong analytical problem solve skill ability work independently also part team excellent interpersonal team building skill highly self-motivated methodical , attention detail intrasoft ;"
231;intrasoft international provide creative , challenge dynamic multinational environment encourages team spirit , cooperation continuous learning .
232;information regard company , current project open around europe , please consult website : wwwi.ntrasoft-intlc.om .
233;application treat strictly confidential .
234;job description intrasoft international , leading european solution provider , seek professional cover follow opening : automation test engineer role work one important phase s/w development lifecycle , factor acceptance test part duty follow : participate product design review provide input functional requirement , product design , schedule , potential problem develop execute test case diagnose issue bug , create test data require job requirement require qualification : university tei degree computer science , engineering relevant field work experience automation tool selenium/nunit etc web service tool soapui experience automation use visual studio experience agile development methodology expertise write test script functional , regression , subcutaneous performance test familiarity issue track system ( jira ) solid understanding computer program software development excellent command english language ( write & oral ) personal characteristic : good communication skill highly self-motivated methodical , attention detail strong analytical & problem solving skill ability work effectively part team ability work international/multicultural environment intrasoft international provide creative , challenge dynamic multinational environment encourages team spirit , cooperation continuous learning .
235;application treat confidentially .
